PROJ_NO,LOCATION,CHANGE_DATE,PROJ_NAME1,PCV_NAME,SUMMARY,STATE,OVERS_PART,OVERS_PCT,PROJ_REQ,UNIDENT_BAL,ATTRIBUTE4,SECTOR,SUB_SECTOR,LAST_UPDATED_FROM_PAYGOV
SPF-AGG,OSP/GGM,2014-10-03T09:28:58,Agriculture Fund,"Special Fund","Contributions to the Agriculture Fund support one of the most basic needs of communities worldwide: safe and sustainable food production.  Agriculture projects target areas such as community food production systems, pesticide safety, crop production, animal husbandry, apiculture, agriculture marketing, farm economics, and formation of agricultural cooperatives.  As food security continues to be a global concern, it is imperative to support communities' agricultural development.",Sp,,,0,0,,Agriulture,,2015-01-12T00:00:00
304-CFD,ALBANIA,2014-12-09T09:30:21,Albania Country Fund,"ALBANIA COUNTRY FUND","Contributions to the Albania Country Fund will support Volunteer and community projects that will take place in Albania. These projects include water and sanitation, agricultural development, and youth programs.",AL,,,0,0,,None,,2015-01-12T00:00:00
SPF-ALF,MOZAMBIQUE,2014-10-03T09:28:59,Alden Landis Memorial Fund,"ALDEN LANDIS MEMORIAL FUND","All donations to the Alden Landis Memorial Fund will support approved Peace Corps Partnership Program (PCPP) projects in Mozambique including those with an emphasis on healthcare and safety.",AL,,,0,0,,None,,2015-01-12T00:00:00
305-CFD,ARMENIA,2014-12-29T09:21:06,Armenia Country Fund,"ARMENIA COUNTRY FUND","Contributions to the Armenia Country Fund will support Volunteer and community projects that will take place in Armenia.  These projects include water and sanitation, agricultural development, and youth programs.",AR,,,0,0,,None,,2015-01-12T00:00:00
15-680-006,BENIN,2015-01-13T10:21:37,Artisan Apprenticeship Program for Disadvantaged Girls,"NY Cretz, M.","This project will enroll 15 disadvantaged girls to work with a local artisan to develop lifelong, professional skills in two professions. The girls will be able to choose from weaving, tailoring, jewelry making, and macrame. Learning an artisan craft provides a lifetime opportunity to escape poverty and achieve a better life through their work. In addition to learning the technical skills of their chosen crafts, they will be learning business skills: accounting, marketing, inventory management, and drafting a business plan. Furthermore, the artisan will be teaching the girls not only how to navigate the local market, but also how to sell in markets and trade fairs throughout Benin and even other parts of West Africa. Ultimately the participants will have all the tools necessary to escape poverty.",NY,23352.63,92,2046.32,2046.32,,Gender and Development,Business Training,2015-01-12T00:00:00
314-CFD,AZERBAIJAN,2014-03-12T12:19:12,Azerbaijan Country Fund,"AZERBAIJAN COUNTRY FUND","Contributions to the Azerbaijan Country Fund will support Volunteer and community projects that will take place in Azerbaijan. These projects often focus on developing the skills of youth, but may also cover other pressing needs determined by the community.",AZ,,,0,0,,None,,2015-01-12T00:00:00
14-641-010,GHANA,2014-12-31T09:18:53,Basic School Classrooms Renovation Project,"SC Meyers, S.","In this town there are about 1200 residents, most of whom are subsistence farmers.  The only School in town holds classes for 465 students in 6 cement classrooms and 3 makeshift classrooms. The 3 makeshift classrooms were built about 5 years ago by communal labor and are in disrepair. The wood pillars holding the roof are rotting, the tin roof is slumping and the thatched roof leaks, the mud and two cement walls are incomplete and crumbling, the floors are primarily uneven compacted dirt, new blackboards are needed, and the school is in need of 78 'single' desk and chairs for JHS and P5 and P6, 30 'double' desks and chairs for P1-P4, and 23 round tables for KG. The community wants to reconstruct the old building (with 3 classrooms and a small office and storage area) so that it will be safe for the children and will improve school resources and learning environment. The community will provide the land and labor needed to complete this project and maintain the building.",SC,3088.71,26,8965.86,7145,,Municipal Development,School Renno/Repair/Enha,2015-01-12T00:00:00
535-CFD,BELIZE,2012-12-31T10:57:36,Belize Country Fund,"BELIZE COUNTRY FUND","Contributions to the Belize Country Fund will support Volunteer and community projects that will take place in Belize. These projects include water and sanitation, agricultural development, and youth programs.",BE,,,0,0,,None,,2015-01-12T00:00:00
680-CFD,BENIN,2014-12-15T09:21:02,Benin Country Fund,"BENIN COUNTRY FUND","Contributions to the Benin Country Fund will support Volunteer and community projects in education, health, environment and small business.  The fund also supports initiatives, such as Gender and Development (GAD), which cover all sectors.  You can earmark your contribution to support girls¿ empowerment camps and/or girls¿ scholarships and other GAD activities.
",BE,,,0,0,,None,,2015-01-12T00:00:00
15-680-003,BENIN,2015-01-09T11:29:27,Benin Maternity,"WI Chicoine, L.","A maternity building will help improve child and neonatal health, prevent childhood illness and will encourage business development. This project will include educating at least 30 women on essential maternal care practices and positive behaviors to improve the care of a newborn. The current health center only has one room available for mothers to give birth and it is located in the same area as those who are sick, creating an unhealthy environment for delivering mothers and their newborns. A maternity building will solve this issue and encourage those who have babies in their homes to come to the health center to receive appropriate care for themselves and their children. After building the maternity at least 30 children will be vaccinated by 12 months of age to prevent childhood illnesses. A maternity building will give the community the space required to provide better care for pregnant mothers and to educate them on healthy maternal practices. This maternity will be a great improvement of the health care services that are already available in the community.",WI,5002.00,33,9995,7605,,Municipal Development,Health Facility,2015-01-12T00:00:00
15-640-005,MOZAMBIQUE,2015-01-12T13:27:08,Bibilioteca Wativa,"NJ Hoisl, L.","Literacy is a core competency that is necessary for educational success. Our team of primary school teachers recognizes the challenges many of the children in our town face when it comes to building reading and comprehension skills. The students lack resources such as story and textbooks, both at school and at home, and all too often the members of their household are illiterate and unable to guide their practice. Recognizing the need to go beyond the standard school curriculum, our team has created a fun and interactive way of helping these children build their literary skills. 
<BR><BR>
Our program, ""Biblioteca Wativa"" (Library of Knowledge, in the local dialect) is based at the primary school. We have received some books to work with, but what we lack is a consistent location to hold our programs and a secure place to store materials. The construction of a community library will allow us to create a space where books and resources may be easily accessed by children throughout the community, many of whom have never experienced the joy of reading or even held a storybook in their hand. 
<BR><BR>
With the help of our local primary school, community members, and your support we will be able to improve the outcome of the children of our community in Mozambique!",NJ,1700.00,27,4503.33,883.33,,Municipal Development,Library,2015-01-12T00:00:00
15-674-001,SOUTH AFRICA,2015-01-12T13:27:03,Books for a Better Future,"OH Sergent, V.","A common but unfortunate reality encountered in rural communities throughout South Africa is a dearth of literary resources and educational materials. This poverty of resources limits a child's opportunities for educational advancement and the development of intellectual curiosity. Within our communities, many local teachers and caregivers have commented on the scarcity of books and/or the age of the books they did possess. Many Peace Corps Volunteers were approached with a request for assistance.
<BR><BR>
The Books for a Better Future project is a partnership between Peace Corps Volunteers serving in South Africa and a non-profit organization specifically designed to meet the need for books in rural communities. This project will distribute 15,000 books to 13 economically disadvantaged organizations and schools throughout KwaZulu-Natal, Limpopo and Mpumalanga Provinces. Each organization or school will receive 1000-1250 books to enhance or start libraries within its facilities. In doing so, 5,568 children associated with these schools and organizations will have access to books within a year, thereby enhancing their learning environments and creating a culture of literacy. Within 10 years, approximately 15,000 children will benefit from the new or enhanced libraries in their community.
<BR><BR>
Our communities are committed to bringing much needed resources into our schools, community centres and drop-in centres. All of them have agreed to provide a space in which to house the library as well as librarians to tend the books and run the facility. As a result, by the end of 2015, 13 communities will have fully operational, sustainable libraries.",OH,11329.24,59,8000,5475,,Education,Literacy,2015-01-12T00:00:00
637-CFD,BOTSWANA,2015-01-13T11:50:26,Botswana Country Fund,"BOTSWANA COUNTRY FUND","Countributions to the Botswana Country Fund will support Volunteer and community projects that will take place in Botswana.  These projects support reducing transmission of HIV and minimizing the impact of HIV and AIDS on individuals and communities.",BO,,,0,0,,None,,2015-01-12T00:00:00
15-684-010,MADAGASCAR,2015-01-13T11:50:21,Bridge to Education,"CT Kaplan, J.","Community members from two local townships hope to build a bridge connecting their communities to the main commune. The bridge will be built entirely by community members. Construction will be overseen by a local architect that lives on the main commune. Objectives of the project include allowing students from the affected townships to have easier access to their schools, which are on the main commune after elementary school. Students must walk 8 kilometers to get to the main commune, so daily commutes take up most of the students' energy.  Currently during the rainy season, the path to the main commune becomes too muddy to cross easily. The bridge would alleviate this problem. Another objective is to allow easier access to the commune's hospital on the main commune. The affected townships lack health facilities of their own, so the bridge would increase access to systemized healthcare. A third objective of the bridge is to allow farmers to increase their business and earning potential by selling goods at the main markets in the commune.
<BR><BR>                               
The community will contribute both labor and some of the construction materials. Partial amounts of workers' salaries will be supplied by the community in just labor. The commune and the head architect will also contribute all the gravel and stone blocks necessary for bridge construction. After the bridge is built, the church catechist from one township and both township chiefs will take on the responsibility of controlling and observing bridge use to monitor for safety and any future repairs.",CT,3020.37,26,8754.5,8529.5,,Municipal Development,Infrastructure,2015-01-12T00:00:00
15-694-023,CAMEROON,2015-01-12T13:27:06,Build for Bilingualism,"NY Kumaresan, J.","Build for Bilingualism is an initiative taken to promote the use of the English language amongst the locals. The project's goal is to increase capacity for the growth of bilingualism by focusing on the development of the new bilingual school system. The vision is to create a solid educative foundation for English that will allow the language to permeate into the niche areas of the community. There is a group in the community that already meets bi-weekly to contribute both managerially and financially to the development of the bilingual nursery school. The goal of Build for Bilingualism is to bring to fruition the construction of the school's building prior to the 2015-2016 academic school year. The community's contribution will be to provide the land for the project (coming from the Lolodorf administration) as well as FCFA 500,000. Once the project is completed the community will also be responsible for equipping the classroom with all necessary materials (blackboard, desks and chairs, beds for nap time, a television set...). 
<BR><BR>
This project will have a tremendous impact on the community by creating a solid foundation for the expansion of bilingualism. The independent bilingual nursery school building will provide the school the increased capacity it needs to immediately house an influx of incoming students. Moreover it will also serve as a marketing tool to attract parents and community members to the bilingual education system and to the English language in general.          
",NY,3400.00,29,8186.4,7636.4,,Municipal Development,Community Center,2015-01-12T00:00:00
15-517-009,DOMINICAN REPUBLIC,2015-01-06T09:40:00,Building a Court: Positive Youth Development Through Sports,"FL Careiro, M.","This project consists of a partnership between a U.S. based organization that helps construct courts for underprivileged communities and a rural community near the capital of the Dominican Republic. This community consists of about 8,000 inhabitants, half of whom are youth between the ages of 15 to 25. The U.S.-based organization and the community will collaborate with the objective of providing the youth with a constructive use of free time in a safe and secure area by working together to construct a court. To reach the potential impact of keeping the youth off the streets and involved in positive activities through sports, the community will provide manual labor and funds raised through solicitation and events. The money solicited with this grant will be used to supplement the monetary and labor contributions of the community and the organization.",FL,4366.54,30,9999.04,9248.04,,Youth Development,Sports Activities,2015-01-12T00:00:00
686-CFD,BURKINA FASO,2015-01-02T09:15:17,Burkina Faso Country Fund,"BURKINA FASO COUNTRY FUND","Contributions to the Burkina Faso Country Fund will support Volunteer and community projects that will take place in Burkina Faso. These projects include water and sanitation, agricultural development, and youth programs.",BU,,,0,0,,None,,2015-01-12T00:00:00
SPF-BUS,OSP/GGM,2015-01-02T09:15:10,Business Development Fund,"Business Development Fund","Volunteers are posted throughout the developing world to help local businesses thrive in ways they never thought possible.  Increasing the opportunities presented to local businesses promotes a sense of empowerment that can truly change a community.  Contributions to this fund will support Volunteer and community projects such as microfinance, agribusiness, business education, and artisan collectives.",Bu,,,2550,2550,,Business Development,,2015-01-12T00:00:00
303-CFD,CAMBODIA,2014-12-17T09:32:28,Cambodia Country Fund,"CAMBODIA COUNTRY FUND","Contributions to the Cambodia Country Fund will support Volunteer and community projects that will take place in Cambodia. These projects include water and sanitation, agricultural development, and youth programs.",CA,,,0,0,,None,,2015-01-12T00:00:00
694-CFD,CAMEROON,2014-12-29T09:21:04,Cameroon Country Fund,"CAMEROON COUNTRY FUND","Contributions to the Cameroon Country Fund will support Volunteer and community projects that will take place in Cameroon. These projects include water and sanitation, agricultural development, and youth programs.",CA,,,0,0,,None,,2015-01-12T00:00:00
15-367-003,NEPAL,2015-01-13T11:50:25,Camp Girls Leading Our World (GLOW) Pyuthan,"GA Nicholson, E.","Camp GLOW-Pyuthan will be a three and a half day educational camp for thirty-five girls aged 12 to 16 and nine female community leaders from seven communities within the mid-hills district of Pyuthan.  The camp will provide a safe and informative environment for participants to discuss and learn about significant issues women and girls of Nepal face every day.  It will include a variety of topics related to empowerment, leadership, gender roles, health, life skills and volunteerism.  Trainings will be presented through formal lecture sessions, interactive discussions, activities and games.
<BR><BR>
Peace Corps Volunteers (PCVs) are teaming up and collaborating with a national non-governmental organization (NGO) and a local NGO.  The national NGO conducted a Camp GLOW in Pokhara in July 2014 and will hold a three-day training of trainers event to help build the capacity of the local NGO.  Both of these NGOs will facilitate the sessions of the camp and activities in the Nepali language.  This will allow the participants to easily express themselves, and consequently enable more detailed and open discussions, as well as encourage individual interactions with the facilitators, who are successful female role models of the participants' own nationality.
<BR><BR>
Camp GLOW-Pyuthan will assist participants in becoming more knowledgeable, more self-aware, more confident, and help them find their individual voices.  These skills will enable participants to become successful leaders in their communities, in their country and in their futures.  After completing Camp GLOW-Pyuthan, participants will use their new knowledge and skills to design at least one event/training for girls and adults in their communities.",GA,1027.93,26,2931.02,1521.02,,Gender and Development,Camp,2015-01-12T00:00:00
15-614-001,MALAWI,2015-01-13T11:50:26,Camp Sky,"WA Spear, S.","Camp Sky is a week-long Peace Corps Malawi M.S.C.E. preparatory course created to address the educational disparity faced by those exceptional students who must learn with a severe lack of resources in Community Day Secondary Schools (C.D.S.S.). We aim to increase the skills and knowledge of our pairs of nominated students, who come from C.D.S.S. around Malawi, in regards to taking the M.S.C.E., as well as create a positive environment for learning in the classroom. Classes are taught by twenty Peace Corps Volunteers, their Malawian counterparts, and other interested local leaders. These individuals introduce an intensive week of preparation, motivation, test taking skills, one on one assistance as well as interactive teaching methods, to ensure students finish Camp feeling confident in their ability to be successful learners. Camp Sky also works to provide guidance in career development post M.S.C.E. Furthermore, Camp Sky seeks contribution from local business owners, schools, and community leaders to help ensure the success of this camp. Through those contributions and the assistance of classroom experienced PCVs and their Malawian counterparts, the camp will foster a long term impact of inspiration in order to prepare motivated Malawian students academically, socially, and creatively.",WA,3970.98,30,9445.95,7234.95,,Youth Development,Camps,2015-01-12T00:00:00
366-CFD,CHINA,2014-11-05T10:40:34,China Country Fund,"CHINA COUNTRY FUND","Contributions to the China Country Fund will support Volunteer and community projects that will take place in China.  These projects are largely built around the volunteer's assignment teaching English on university campuses.  Volunteer project activities include creating or expanding English Language Resource rooms, programs to develop critical thinking skills, and teacher training workshops.  Volunteers also develop projects with focal areas that fall under Peace Corps initiatives such as women in development and HIV/AIDS awareness.",CH,,,0,0,,None,,2015-01-12T00:00:00
514-CFD,COLOMBIA,2014-06-02T09:24:32,Colombia Country Fund,"COLOMBIA COUNTRY FUND","Contributions to the Colombia Country Fund will support Volunteer and community projects that will take place in Colombia.  These projects include water and sanitation, agricultural development, and youth programs.",CO,,,0,0,,None,,2015-01-12T00:00:00
15-309-002,MONGOLIA,2015-01-13T11:50:27,Community Animal Center,"PA Pawloski, N.","The Community Animal Center project has five components. The first was the formation of the Animal-Nature club in May of 2014. The aim of the club is to raise awareness on environmental conservation issues, animal rights, and youth character building skills through humane education. 
<BR><BR>
The second component is educating the youth and leaders through lessons, training, and hands on service-learning projects with small animals. Educators and the village veterinarian will attend a one-day training in Mongolia's capital facilitated by Mongolia V.E.T. net, a non-profit veterinarian training clinic, whose main goal is to train country side veterinarians.
<BR><BR>
In the third component, educators in the club feel that having a Community Animal Center where students and teachers have the opportunity to care for animals, would help best meet the Animal Club's goals. The Center would include two rabbits, two guinea pigs, two hamsters, two gold fish and resources to learn more about animals. Giving youth the opportunity to experience caring and loving for a pet not only would encourage healthy child-pet relationships but stimulate learning and support humane education.
<BR><BR>
The fourth component is the sustainability of the project. Animals were strategically chosen that the community could sustain and support. The village's Animal Club will contribute 32.28% of the budget. Each member of the Club will pay eight dollars per year to maintain animal necessities. A fundraiser will combat this fee by collecting money from community members to help support the center. The Animal Club is requesting $857.30 to support cost of attendance for a one-day training, purchasing the animals, their necessary items, and transportation.",PA,408.65,32,876.76,776.76,,Environment,Awareness,2015-01-12T00:00:00
15-621-002,TANZANIA,2015-01-08T09:58:06,Community Library Development,"GA Belfield, A.","Students and teachers at our local secondary school in Singida have limited reference materials in their library that are not adequate for the student body. The school recently created a library with its existing resources, which is frequented by students looking to study. The school currently enrolls about 350 students. However, the current library does not have nearly enough books for the school's many students, in addition to lacking furniture such as tables, chairs, and shelves for the students to use while studying. As a result, school administrators, in collaboration with the PCV serving in the community, are proposing a project to improve the current library space by making superficial improvements such as adding windows, a ceiling for the room, and painting the space; building furniture for students to use while studying in the library; and adding more books so that there are enough for the student demand. These materials will total 11,426,000 TZS, of which 3,010,000 TZS (26.34%) will be supplied by the community through in-kind donations of labor for furniture construction and building repairs, as well as funding for the transportation of materials and the school's agreed donation for part of the book funds. This project will be led by a Project Committee, including the school Headmaster, Academic Master, the PCV and two other teachers at the school. Following the completion of the library, there will also be an orientation for the students at the school so that they can better understand how to use the library and its resources to better study and improve their academic performance which will be monitored by the Librarian and Library Prefect in addition to noting exam scores and overall use of the library. The Librarian and Library Prefect will also work to ensure the maintenance and sustainability of the library, keeping track of the log book for returns and check-outs as well as collecting funds from students for lost or stolen books. The project committee hopes to complete fundraising by January of 2015 and have the library ready by the end of May 2015.",GA,1881.25,26,5260,5235,,Municipal Development,Library,2015-01-12T00:00:00
515-CFD,COSTA RICA,2015-01-02T09:15:17,Costa Rica Country Fund,"COSTA RICA COUNTRY FUND","Contributions made to the Costa Rica Country Fund will support Volunteers and their community partners with Children, Youth and Family; Community Economic Development; and Rural Community Development projects. The types of projects for which Volunteers and their communities solicit vary based on the unique needs and priorities of their communities. Common Costa Rica projects include: sports development camps and equipment, HIV/AIDS awareness and prevention workshops, public infrastructure development including clinics and school playgrounds, classrooms, sports fields, libraries, and computer labs; and capacity building activities that develop knowledge and skills in one or more of the following areas: youth development, gender empowerment, business, fine arts, performing arts, music, English, information and communications technology, and life skills.",CO,,,0,0,,None,,2015-01-12T00:00:00
SPF-CPF,OSP/GGM,2014-10-03T09:28:57,Craig Pollock Memorial Fund,"Craig Pollock Memorial Fund","All donations to this Fund will support approved Peace Corps Partnership Program (PCPP) projects in South America with a focus on Health and Education.",Cr,,,0,0,,None,,2015-01-12T00:00:00
15-303-002,CAMBODIA,2015-01-07T09:27:26,Create Cambodia,"PA Biggs, S.","Cambodia was once brimming with artists, dancers, singers, actors and musicians, but the Khmer Rouge period silenced many of these creative voices. There is currently little artistic curriculum in Cambodian schools, and children and adults have difficulty finding outlets for their creative energy and talent. In recent years, however, arts NGOs throughout the country have ventured to reintroduce Cambodians to artistic endeavors and to remind them of their rich cultural past. It is in this spirit that the Create Cambodia Arts Festival was formed. We aim to inspire participants with an interest in the arts to pursue their artistic passions while equipping Cambodian educators with the tools necessary to foster this creative spirit.
<BR><BR>
Programming for Create Cambodia starts in Peace Corps Volunteers' villages where they and their Khmer counterparts form arts clubs with students in their communities. These students are then treated to a 3-day arts festival where they present the creative pieces they rehearse, see professional artists perform and engage in classes, activities and games led by NGOs, counterparts and PCVs.
<BR><BR>
The inspiration for this project came directly from students and educators lamenting the lack of creative opportunities in their villages. Students, NGOs and teachers alike are all excited about this project and will collaborate with PCVs to create presentations and activities for the festival.  Create Cambodia strives to equip students with basic knowledge of and access to the arts and to provide Khmer educators with instructional experience to continue inspiring Cambodian students in the future.
",PA,3177.25,29,7658.13,4262.38,,Education,Art,2015-01-12T00:00:00
14-617-059,UGANDA,2015-01-12T13:36:34,Creation of ICT Lab in Ugandan Village,"MD Roxas, M.","The primary goal of this project is to increase ICT literacy at our college and in the surrounding community. This can be achieved through the construction of an ICT lab at the college that will allow students tangibly to learn how to operate a computer and apply those skills in everyday life. After having worked at the college for the past seven months, it is evident that students, teachers, and community members alike have shared a deep interest in learning how to use a computer. This is an opportunity to combine the community's interest in using technology with the very real need of ICT education in the sub-county where the majority of its members have never even had the opportunity to turn on a computer before. 
<BR><BR>
The impact of the project will allow students to access a multitude of educational resources, increase the understanding of appropriate usage of technology, and broaden technical skills that will empower students and community members. The supervisor at my school has also been very proactive in contacting the necessary and trustworthy consultants, architects, and contractors in order to give this project the best chance of succeeding. 
<BR><BR>
The funds obtained will first go towards the construction of the ICT lab and then towards furnishing it with computers. The community has supported this project so much that it has pledged 7.25 million shillings towards it and has already started construction on the foundation in preparation for the remaining fundraising.",MD,2820.84,25,8462.51,4286.56,,IT,Computer Lab,2015-01-12T00:00:00
SPF-DDF,OSP/GGM,2014-12-31T09:18:53,Danielle ""Dani"" Dunlap Memorial Fund,"DANIELLE ""DANI"" DUNLAP MEMORIAL FUND","Donations to this fund will be used to equip and outfit the ""Mama Grace Memorial Clinic"" begun by Danielle; once the clinic is complete, contributions will support approved Peace Corps Partnership Program (PCPP) projects in Ghana for improving rural health care and preventing HIV/AIDS and malaria, in furtherance of Dani's extraordinary work.",DA,,,0,0,,None,,2015-01-12T00:00:00
517-CFD,DOMINICAN REPUBLIC,2014-12-29T09:21:00,Dominican Republic Country Fund,"DOMINICAN REPUBLIC COUNTRY FUND","Contributions to the Dominican Republic Country Fund will support Volunteer and community projects that will take place in Dominican Republic.  These projects include water and sanitation, agricultural development, and youth programs.",DO,,,0,0,,None,,2015-01-12T00:00:00
SPF-WAT,OSP/GGM,2014-12-29T09:30:21,Drinking Water and Sanitation Fund,"Water / Sanitation Fund","The very basic needs of clean water and accessible sanitation are absent from many communities around the world.  This often leads to severe community health problems.  Volunteers work with their communities to design locally appropriate solutions to provide safe, affordable, and sustainable water and sanitation.  Contributions to this fund will help Volunteer and community projects such as latrines, aqueducts and wells, and basic sanitation training.",Wa,0.00,0,2550,2550,,Water & Sanitation,,2015-01-12T00:00:00
538-CFD,EASTERN CARIBBEAN,2013-12-31T10:57:41,Eastern Caribbean Country Fund,"EASTERN CARIBBEAN COUNTRY FUND","Contributions to the Eastern Caribbean Country Fund will support Volunteer and community projects that will take place in Eastern Caribbean.  These projects include water and sanitation, agricultural development, and youth programs.",EA,,,0,0,,None,,2015-01-12T00:00:00
