PROJ_NO,LOCATION,CHANGE_DATE,PROJ_NAME1,PCV_NAME,SUMMARY,STATE,OVERS_PART,OVERS_PCT,PROJ_REQ,UNIDENT_BAL,ATTRIBUTE4,SECTOR,SUB_SECTOR,LAST_UPDATED_FROM_PAYGOV
518-CFD,ECUADOR,2014-12-22T12:08:00,Ecuador Country Fund,"ECUADOR COUNTRY FUND","Contributions to the Ecuador Country Fund will support Volunteer and community projects that will take place in Ecuador. These projects support our program work in Community Health, Natural Resources Conservation, Teaching English as a Foreign Language (TEFL), and Youth & Families Development.",EC,,,0,0,,None,,2015-01-12T00:00:00
SPF-EDU,OSP/GGM,2015-01-05T09:21:22,Education Fund,"Education Fund","Throughout the developing world, Peace Corps Volunteers are working in their communities to share the precious gift of education.  Often Volunteers' dedication to teaching is matched by a severe lack of supplies and facilities in which to help.  Contributions to this fund will help Volunteer and community projects such as school construction, English language training, school and library material, and adult literacy.",Ed,,,2550,2550,,Education,,2015-01-12T00:00:00
519-CFD,EL SALVADOR,2015-01-07T09:27:26,El Salvador Country Fund,"EL SALVADOR COUNTRY FUND","Contributions to the El Salvador Country Fund will support Volunteer and community projects that will take place in El Salvador. These projects include water and sanitation, agricultural development, and youth programs.",EL,,,0,0,,None,,2015-01-12T00:00:00
SPF-EBF,OSP/GGM,2014-12-29T09:26:14,Emily Balog Memorial Fund,"EMILY BALOG MEMORIAL FUND","All donations to the Emily Balog Memorial Fund will support approved Peace Corps Partnership Program (PCPP) projects in Paraguay.",EM,,,0,0,,None,,2015-01-12T00:00:00
SPF-ENV,OSP/GGM,2014-12-29T09:30:21,Environment Fund,"Environment Fund","Communities around the world are challenged by the need to improve their development in an environmentally sustainable way.  Peace Corps Volunteers are working with their communities to show that sustainable environmental management is not only good stewardship, but can be an engine of future economic growth.  Contributions to this fund will help Volunteer and community projects such as environmental conservation and ecotourism.",En,,,2550,2550,,Environment,,2015-01-12T00:00:00
663-CFD,ETHIOPIA,2015-01-12T13:27:09,Ethiopia Country Fund,"ETHIOPIA COUNTRY FUND","Contributions to the Ethiopia Country Fund will support Volunteer and community projects that will take place in Ethiopia.  These projects include water and sanitation, agricultural development, and youth programs.",ET,,,0,0,,None,,2015-01-12T00:00:00
411-CFD,FIJI,2012-12-31T15:48:46,Fiji Country Fund,"FIJI COUNTRY FUND","Contributions to the Fiji Country Fund will support Volunteer and community projects that will take place in Fiji. These projects include water and sanitation, agricultural development, and youth programs.",FI,,,0,0,,None,,2015-01-12T00:00:00
242-CFD,GEORGIA,2014-07-14T10:06:08,Georgia Country Fund,"GEORGIA COUNTRY FUND","Contributions to the Georgia Country Fund will support Volunteer and community projects that will take place in Georgia. These projects include water and sanitation, agricultural development, and youth programs.",GE,,,0,0,,None,,2015-01-12T00:00:00
641-CFD,GHANA,2014-12-23T10:45:42,Ghana Country Fund,"GHANA COUNTRY FUND","Contributions to the Ghana Country Fund will support Volunteer and community projects that will take place in Ghana. These projects include water and sanitation, agricultural development, and youth programs.",GH,,,0,0,,None,,2015-01-12T00:00:00
15-367-002,NEPAL,2015-01-13T11:50:23,Girls Leading Our World (GLOW) Camp Nepal,"MN Bigbee, K.","GLOW Camp Nepal will be a 4-day educational camp for girls ages 12-16 and female community leaders from our local district of Nepal. The camp will include information and activities addressing health, empowerment, leadership skills, and gender equality. The information will be presented in a safe and fun environment through games and hands-on activities. GLOW Camp will work with local NGOs to produce a successful camp experience for the girls.  One of the NGOs that will be assisting in this GLOW Camp currently uses the GOAL curriculum - the same curriculum used for GLOW camps - for their programs and have worked with previous Volunteers in leading a successful GLOW camp. This organization will train workers from another NGO in the GOAL curriculum, and together they will help co-facilitate the camp. The training of the workers from the second organization will allow them to use these skills in the future for other camps or activities. 
<BR><BR>
GLOW Camp will assist participants in becoming more confident, more self-aware, and more able to express their own ideas and opinions. These skills will help the girls grow, both personal and professionally; it will also help them to grow into leaders of their community.
<BR><BR>
",MN,880.69,25,2590.26,1440.26,,Gender and Development,Camp,2015-01-12T00:00:00
SPF-GBL,OSP/GGM,2014-12-17T09:32:34,Global Fund,"Global Fund","Through the generous support of donors across America, each year the Peace Corps Partnership Program funds hundreds of community-initiated projects all over the globe.  If you are interested in helping Peace Corps Volunteers and communities accomplish amazing projects, but do not have a specific project in mind, you can contribute to the Global Fund.  Donations to the Global Fund go towards a wide variety of Partnership Program projects that find that they are falling short of funding from other sources.

Should a project or special fund receive full support from other sources or be canceled, any remaining funds will automatically be directed to the Global Fund and be used for Volunteer and community projects.",Gl,,,2550,2550,,None,,2015-01-12T00:00:00
520-CFD,GUATEMALA,2014-08-07T09:18:19,Guatemala Country Fund,"GUATEMALA COUNTRY FUND","Contributions to the Guatemala Country Fund will support Volunteer and community projects that will take place in Guatemala. These projects include water and sanitation, agricultural development, and youth programs.",GU,,,0,0,,None,,2015-01-12T00:00:00
675-CFD,GUINEA,2012-09-24T10:27:59,Guinea Country Fund,"GUINEA COUNTRY FUND","Contributions to the Guinea Country Fund will support Volunteer and community projects that will take place in Guinea. These projects include water and sanitation, agricultural development, and youth programs.",GU,,,0,0,,None,,2015-01-12T00:00:00
504-CFD,GUYANA,2014-12-18T09:32:16,Guyana Country Fund,"GUYANA COUNTRY FUND","Contributions to the Guyana Country Fund will support Volunteer and community projects that will take place in Guyana. These projects include water and sanitation, agricultural development, and youth programs.",GU,,,0,0,,None,,2015-01-12T00:00:00
15-685-025,SENEGAL,2014-12-31T09:18:53,Health Post Restoration,"CA Garcia, M.","My village is in a very remote part of Senegal. It doesn't show up on any maps and when you ask for directions there people say, ""Somewhere over that way, in the country."" After living here for a year the villagers have asked me to help them with a project they have been saving up for - a new fence for their Health Post. The project has only three components the first two - estimates and fundraising - have already been taken care of at the community level. After fundraising the materials will be bought and construction will be under way. The fence will keep out the myriad sheep, goats, donkeys, cows, and horses that wander around our village daily. The community hopes to plant trees afterwards to beautify the post's grounds.",CA,710.00,25,2120,1495,,Municipal Development,Health Facility,2015-01-12T00:00:00
SPF-HHA,OSP/GGM,2014-12-24T09:33:48,Health and HIV/AIDS Fund,"HEALTH AND HIV/AIDS FUND","Donations to the Health and HIV/AIDS Fund will help combat global health issues such as poor nutrition, the spread of infectious diseases, and the devastating social and economic impact of HIV/AIDS.  In order to help alleviate these problems, Volunteers and their host communities are planning and implementing projects which focus on preventative health care, nutrition, and disease prevention and mitigation. The range of activities includes immunizations; nutrition and growth monitoring; promotion of breast-feeding; access to prenatal and postnatal care; training health workers; development of public awareness material; and culturally appropriate education strategies.",HE,,,2550,2550,,Health and HIV/AIDS,,2015-01-12T00:00:00
497-CFD,INDONESIA,2013-11-18T09:01:56,Indonesia Country Fund,"INDONESIA COUNTRY FUND","Contributions to the Indonesia Country Fund will support Volunteer and community projects that will take place in Indonesia.  These projects will focus on English education and other pressing needs determined by the community.",IN,,,0,0,,None,,2015-01-12T00:00:00
SPF-ICT,OSP/GGM,2014-11-24T09:20:11,Information & Communication Technology Fund,"IT Fund","Peace Corps Volunteers are working with men and women in communities throughout the developing world to help them gain access to information technology skills and resources. Consistent with all Peace Corps volunteer work, their efforts are aimed at the promotion of social and economic development and the reduction of poverty. To this aim, volunteers are using IT to enhance existing small, local entrepreneurial efforts, in order to allow once isolated communities to link to the world and find and capitalize on opportunities once completely out of their reach.  Contributions to this fund will support Community and Volunteer projects such as creating school and public computer labs and teaching computer skills.",IT,,,2550,2550,,IT,Other,2015-01-12T00:00:00
532-CFD,JAMAICA,2013-01-02T07:48:04,Jamaica Country Fund,"JAMAICA COUNTRY FUND","Contributions to the Jamaica Country Fund will support Volunteer and community projects that will take place in Jamaica. These projects include water and sanitation, agricultural development, and youth programs.",JA,,,0,0,,None,,2015-01-12T00:00:00
SPF-JPF,OSP/GGM,2015-01-13T11:50:25,John D. L. Petersen Memorial Fund,"John D. L. Petersen Memorial Fund","All donations to the John D. L. Petersen Memorial Fund will support approved Peace Corps Partnership Program (PCPP) projects in Namibia.
",Jo,,,0,0,,None,,2015-01-12T00:00:00
440-CFD,JORDAN,2013-08-12T09:57:59,Jordan Country Fund,"JORDAN COUNTRY FUND","Contributions to the Jordan Country Fund will support Volunteer and community projects that will take place in Jordan. These projects include water and sanitation, agricultural development, and youth programs.",JO,,,0,0,,None,,2015-01-12T00:00:00
SPF-KPF,BENIN,2014-12-17T09:32:30,Kate Puzey Memorial Fund,"KATE PUZEY MEMORIAL FUND","The Kate Puzey Memorial Fund was established to honor the memory and service of Benin Volunteer, Kate Puzey.  This fund enables members of the public, as well as former Volunteers who have been inspired by Kate's story, to support ongoing work in her memory. Donations to this fund will be used to support approved Peace Corps Partnership Program (PCPP) projects which focus on the empowerment and education of young girls in Benin, a cause that was very close to Kate's heart.  Returned Peace Corps Volunteers who received contributions from the Fund for their previous PCPP projects are also welcome to contribute to ensure Kate's continuing legacy.",KA,,,0,0,,None,,2015-01-12T00:00:00
615-CFD,KENYA,2014-12-03T09:16:53,Kenya Country Fund,"KENYA COUNTRY FUND","Contributions to the Kenya Country Fund will support Volunteer Community projects in Kenya.  The scope of projects to be funded would likely fall within education, water/sanitation, health, agriculture, youth development, vocational/special education and income-generating activities.
<BR><BR>
Peace Corps supports Kenya's goals of poverty eradication and industrialization as well as Kenya's commitment to fight HIV/AIDS and malaria.  Peace Corps Kenya's current programs include Education (including Deaf Education), Public Health and Small Enterprise Development/Information and Communications Technology.  
<BR><BR>
Insecurity, poor infrastructure, access to clean water especially in rural areas, and adverse poverty continues to be Kenya's major challenges. Changes in weather patterns and high farming costs have compromised farmers' ability to plant and grow adequate food, resulting in shortages of food and hunger in some parts of Kenya.  The demand for food continues to increase household poverty levels with more than half of Kenyans (56%) living below the poverty level.  
 <BR><BR>
HIV/AIDS is another major social, economic and health problem in Kenya. Many young and productive Kenyans die daily as a result of AIDS. Much productive time and resources are spent in care and treatment for AIDS patients. The situation is worsened when the patient is the household breadwinner. 
<BR><BR>
In addressing these prevalent Kenya community needs, Peace Corps volunteers work hand in hand with their Kenyan community counterparts in engaging the community to identify their priority needs and possible interventions. The community also identifies local resources and gaps within which external assistance is required.",KE,,,0,0,,None,,2015-01-12T00:00:00
216-CFD,KOSOVO,2014-08-12T11:21:21,Kosovo Country Fund,"KOSOVO COUNTRY FUND","Contributions to the Kosovo Country Fund will support Volunteer and community projects that will take place in Kosovo. These projects will focus on English education and other pressing needs determined by the community.",KO,,,0,0,,None,,2015-01-12T00:00:00
307-CFD,KYRGYZ REPUBLIC,2014-12-29T09:26:15,Kyrgyz Republic Country Fund,"KYRGYZ REP. COUNTRY FUND","Contributions to the Kyrgyz Republic Country Fund will support Volunteer and community projects that will take place in Kyrgyz Republic. These projects include water and sanitation, agricultural development, and youth programs.",KY,,,0,0,,None,,2015-01-12T00:00:00
SPF-LJF,MOZAMBIQUE,2014-10-03T09:28:59,Lena Jenison Memorial Fund,"LENA JENISON MEMORIAL FUND","All donations to the Lena Jenison Memorial Fund will support approved Peace Corps Partnership Program (PCPP) projects in Mozambique with a focus on science education.",LE,,,0,0,,None,,2015-01-12T00:00:00
632-CFD,LESOTHO,2014-12-16T09:33:11,Lesotho Country Fund,"LESOTHO COUNTRY FUND","Contributions to the Lesotho Country Fund will support Volunteer and community projects that will take place in Lesotho. These projects include water and sanitation, agricultural development, and youth programs.",LE,,,0,0,,None,,2015-01-12T00:00:00
669-CFD,LIBERIA,2014-11-18T09:55:55,Liberia Country Fund,"LIBERIA COUNTRY FUND","Contributions to the Liberia Country Fund will support Volunteer and community projects that will take place in Liberia. These projects include secondary education and HIV/AIDS prevention and education programs.",LI,,,0,0,,None,,2015-01-12T00:00:00
15-686-001,BURKINA FASO,2014-12-31T09:18:48,Library Resource Center for Middle School,"VA Mills, K.","This project is meant to create a library resource center for the middle school in my community.  The middle school was built in 2013 by a Burkinabe originally who now lives in the capital city.  The middle school is run and staffed publicly by the government of Burkina Faso.  Currently there are 300 hundred students enrolled in sixth and seventh grade with 3 teachers, principal and vice principal.  Next year there will be an eighth grade and the following year a ninth grade.  At this point, the middle school will be fully functioning.
<BR><BR>
The proposed library resource center will provide 3 computers, solar powered electricity for 2 classrooms and a printer.  This project's main objectives are to provide computer and technology educations for students, computer and technology training for teachers, general administrative needs for students and staff as well as provide a location for after school studying.  In today's society, computer training is an invaluable tool and the Burkina Faso education system currently provides no services in regards to technology particularly on the village level.  This project will provide students with computer skills needed for their future success in a developing country.  This project will also provide administrative services such as test making and printing which is currently not available.  Finally, this project will provide a safe location for students to study after hours.  Currently, mu community does not have electricity and students are unable to study after the sun goes down.
<BR><BR>
The community has agreed to provide a room in the school for this center, all security needed for the technology and resources provided, and furnishing for the room.  The director, who is computer literate and trained, has also agreed to lead training with teachers and high achieving students.  The proposed project would at minimum provide an introductory course on computer, usage and safety, to all students.",VA,1558.82,27,4238.24,3823.24,,IT,Computer Lab,2015-01-12T00:00:00
15-492-005,PHILIPPINES,2015-01-14T10:55:31,Local High School - Internet Restoration and Replacement of Computers and Projector Destroyed by Super Typhoon Yolanda,"FL Baker, S.","On November 8, 2013, Super Typhoon Yolanda struck the Capiz Province.  Extensive damage occurred to housing, schools and infrastructure.  One of the local high schools in a coastal barangay experienced extensive damage.  Most of their educational equipment and supplies were completely destroyed including a tower that provided internet access and all of its 20 computers.  Since then, students, under the supervision of teachers and PTA members with information technology expertise, have managed to repair 7 computers.  The internet tower and the other 13 computers were beyond repair.    
<BR><BR>
As the internet and computers were widely used in the high school's curriculum prior to Yolanda by both students and teachers, they have attempted, without success to date, to find possible donors for replacement of the totally damaged internet tower and computers.  As such, the high school's curriculum has suffered.  
<BR><BR>
The proposed project seeks to restore internet access to the high school by replacement of the internet tower and associated connection cables.  Also, the high school seeks to partially replace the computers and day light projector that were lost due to Super Typhoon Yolanda.  
<BR><BR>
Specifically, material and supplies will be acquired for construction of a new typhoon-resistant internet tower with the community providing transport/delivery and labor plus internet access fees.  Also, the high school would procure four new mid-range desktop computers, one mid-range laptop computer and one day light projector (DLP).  
<BR><BR> 
This project has the potential to enhance learning and educational opportunities for both students and teachers.  Lesson plans will be more comprehensive, up-to-date and result in better and more interesting lesson presentation.  Students will be more interested in the learning process because of the interactive nature of learning through the internet and use of educational software. This will lead in the short term to increased student participation and better performance.  Ultimately, use of computers and the internet will serve to better prepare students for their future careers in a world where computer competence is essential in most professions.",FL,1197.73,31,2636.36,2636.36,,IT,Computer Lab,2015-01-12T00:00:00
14-637-002,BOTSWANA,2015-01-02T09:15:08,Local Preschool,"CA Weeks, B.","Pre-school education is not mandatory in Botswana. Students who have parents who can afford school fees usually have the opportunity to attend pre-schools. Orphans and vulnerable children (OVC's) and destitute children often do not have the opportunity to attend pre-school, which is often needed by these children. OVC's and destitute children often start behind their peers in education. About 30% of my community's population is OVC and destitute children.  From the support of the Village Development Committee in my village, we chose a vacant building to renovate and transform into an established pre-school that will offer affordable education for the destitute children, special needs children, and orphans.  From recent relocation of minority tribes, a high number of destitute and orphans live in my village. Almost over 75% of students who are OVC's and destitute suffer from malnutrition, poor housing environments, lack of educational knowledge, and low language literacy of Setswana and English. Setso's (Culture) Pre-school aims to: provide affordable and quality education to orphans and destitute children, prepare children towards a pre-primary education with an emphasis on English education, and teach critical developmental life skills to shape a new generation of optimistic learners. Additionally our goal is to have at least 30 villagers impacted with knowledge of grant writing, child development education, pre-school teacher training, business operation skills, and negotiating and entrepreneurial skills in order to maintain sustainability of Setso's Pre-School Program.									
",CA,3150.00,28,7977.8,3400,,Municipal Development,School/Class Construction,2015-01-12T00:00:00
14-303-021,CAMBODIA,2014-12-23T10:45:41,Local Sports And Activities Education Court,"MN Youb, F.","We will construct a School Sports Education and Recreation Center for the local high school. The objective of our School Sports Education and Recreation Center is to have a space at the school for sports as well as Physical Education and Health exercise programs. The school director has begun organizing the teachers that will be involved in the athletic education program. The athletic education program will teach girls and boys new sports, exercises, ways to stay healthy and develop team building skills. The court will serve as a basketball court, volleyball court, and a soccer court among other games and activities.  The deputy director coaches both a volleyball and soccer team. Once the court is built the school deputy wants to develop his knowledge and skills in basketball so he will be able to start possibly coaching a girls and boys basketball team. Girl students showed a high interest in wanting a court to learn and play sports, so the court will be a safe space to promote women's sports. Sports education is important for students because it improves overall health of the student body and helps create involvement in sports and competitions. I will be teaching a health education class this upcoming year. In my health class I will teach students about the health benefits of sports. The school director wants the court to be used recreationally by his students at the high school and secondary school as well an assembly area for school and community members on a regular basic. The school is providing the land and the students and teachers have already committed to helping construct the court to lower the price. However, local carpenters will be doing most of the work to make sure the court is strong and will last for a long period of time. Having a School Sports Education and Recreation Center will lead to an improvement of physical health throughout the student body. Additionally, many students will learn teamwork, leadership skills, and self-confidence.",MN,1725.00,27,4650,3960,,Health and HIV/AIDS,Child Health,2015-01-12T00:00:00
249-CFD,MACEDONIA,2012-01-11T09:12:49,Macedonia Country Fund,"MACEDONIA COUNTRY FUND","Contributions to the Macedonia Country Fund will support Volunteer and community projects that will take place in Macedonia. These projects include water and sanitation, agricultural development, and youth programs.",MA,,,0,0,,None,,2015-01-12T00:00:00
684-CFD,MADAGASCAR,2015-01-02T09:15:19,Madagascar Country Fund,"MADAGASCAR COUNTRY FUND","Contributions to the Madagascar Country Fund will support Volunteer and community projects that will take place in Madagascar. These projects include water and sanitation, agricultural development, and youth programs.",MA,,,0,0,,None,,2015-01-12T00:00:00
614-CFD,MALAWI,2014-12-29T09:21:10,Malawi Country Fund,"MALAWI COUNTRY FUND","The Country Fund will support many varied Volunteer projects in Malawi.  Malawi is one of the poorest countries in the world. Apart from poverty, Malawi is also heavily hit by HIV/AIDS. Typical projects include water and sanitation, agricultural development, Income Generation Activities, youth and HIV/AIDS related programs. Many such projects fail to materialise or be implemented better due to lack of resources or the time/effort it takes to get them.  You can make a big difference for both the work of the volunteers and people of Malawi by contributions to the Malawi Country Fund, which is designed for faster response to the Volunteers and their communities.  An example of country fund use was funding a local mini-camp for a Volunteer's community, using resources and people that were trained at one of the national camps, like Camp GLOW or Camp Sky.  These can happen frequently as $300 - $800 is above easy Volunteer fund raising, but it goes a long way in developing motivation/skills of a local group of 30 young women or youth.",MA,,,0,0,,None,,2015-01-12T00:00:00
510-CFD,MEXICO,2011-03-23T10:42:49,Mexico Country Fund,"MEXICO COUNTRY FUND","Contributions to the Mexico Country Fund will support Volunteer and community projects that will take place in Mexico. These projects include water and sanitation, agricultural development, and youth programs.",ME,,,0,0,,None,,2015-01-12T00:00:00
401-CFD,MICRONESIA,2013-01-11T09:15:44,Micronesia Country Fund,"MICRONESIA COUNTRY FUND","Contributions to the Micronesia Country Fund will support Volunteer and community projects that will take place in Micronesia.  These projects include water and sanitation, agricultural development, and youth programs.",MI,,,0,0,,None,,2015-01-12T00:00:00
261-CFD,MOLDOVA,2014-08-18T09:37:07,Moldova Country Fund,"MOLDOVA COUNTRY FUND","Contributions to the Moldova Country Fund will support Volunteer and community projects that will take place in Moldova. These projects include water and sanitation, agricultural development, and youth programs.",MO,,,0,0,,None,,2015-01-12T00:00:00
309-CFD,MONGOLIA,2014-12-29T09:21:08,Mongolia Country Fund,"MONGOLIA COUNTRY FUND","Contributions to the Mongolia Country Fund will support Volunteer and community projects that will take place in Mongolia. These projects include water and sanitation, agricultural development, and youth programs.",MO,,,0,0,,None,,2015-01-12T00:00:00
378-CFD,MOROCCO,2014-12-29T09:30:19,Morocco Country Fund,"MOROCCO COUNTRY FUND","Contributions to the Morocco Country Fund will support Volunteer and community projects that will take place in Morocco. These projects include water and sanitation, agricultural development, and youth programs.",MO,,,0,0,,None,,2015-01-12T00:00:00
640-CFD,MOZAMBIQUE,2014-12-09T09:30:23,Mozambique Country Fund,"MOZAMBIQUE COUNTRY FUND","Contributions to the Mozambique Country Fund will support Volunteer and community projects that will take place in Mozambique. These projects include water and sanitation, agricultural development, and youth programs.",MO,,,0,0,,None,,2015-01-12T00:00:00
SPF-MDF,OSP/GGM,2014-10-03T09:28:52,Municipal Development Fund,"Special Fund","Contributions to the Municipal Development Fund will support overarching capacity building across all sectors, such as health, education, and waste management.  Projects range from improving public spaces and buildings, like classrooms, clinics, and parks to promoting civic education and participation in municipal decisions.  Municipal projects area foundation on which communities can increase their civic engagement and ultimately their overall economic development.",Sp,,,0,0,,Municipal Development,,2015-01-12T00:00:00
15-517-008,DOMINICAN REPUBLIC,2015-01-12T13:27:09,My Bright Future,"PA DeHart, E.","My Bright Future strives to give high school aged girls the opportunity to visualize and plan for a future career. This is a time to think about personal strengths, to practice writing a curriculum, to visit universities and to listen to female professionals that can encourage girls to really consider their future. These are girls that may often feel discouraged to further their education by economic and gender pressures. During the conference, girls visit a variety of young professional women, from accountants to engineers to doctors, to learn about what they do and have a glimpse of their working life.  The conference aims to encourage young women to reach for the stars in terms of their potential careers and futures!",PA,2023.37,26,5866.54,4175.54,,Gender and Development,Camp,2015-01-12T00:00:00
697-CFD,NAMIBIA,2015-01-07T09:27:24,Namibia Country Fund,"NAMIBIA COUNTRY FUND","Contributions to the Namibia Country Fund will support Volunteer and community projects that will take place in Namibia. These projects include water and sanitation, agricultural development, and youth programs.",NA,,,0,0,,None,,2015-01-12T00:00:00
15-305-001,ARMENIA,2015-01-13T11:50:25,National Poetry Competition,"MA Dooley, S.","The Fifth Annual National Poetry Recitation Contest (hereafter, NPRC) is an opportunity for secondary school students to compete academically amongst their peers. The NPRC is a vehicle for Volunteers to meet Peace Corps goals and for Armenians to become motivated to improve their understanding of English, practice their critical thinking skills, and become active in the arts. Typically, there is little room for creativity in the English-language curriculum, so the NPRC may prove a unique experience for Armenian students, introducing them to some of the best-loved poems in Anglophone poetry, as well as current works dealing with topical issues of our time. 
<BR><BR>
Through students' enthusiasm and determination to make it to the NPRC, their families, peers, and communities are exposed to the challenges and excitement of hard work coming full circle. The competition consists of three stages that allow participants to exhibit their knowledge of the English language through the meaningful recitation of poetry. First students work with local Peace Corps Volunteers and teachers to understand, memorize, and develop their presentation of a chosen work. Next, regional competitions are held, and first-place winners are then invited to compete in the final stage at the national level in the capital city. Students are judged upon the accuracy of their pronunciation, memorization and poem interpretation. NPRC participants' travel costs, prizes, and overnight stay will be paid for with grant money (although travel arrangements must be made by participants and they are responsible for their own safety throughout the visit). For some, this will be their first visit to the capital city, exposing them to a different way of life and iteration of their national culture, which can in itself be an inspiring, life-changing experience.",MA,1553.63,39,2446.7,1834.42,,Education,English,2015-01-12T00:00:00
